Time,Effect,Rate (/s),FOM (cm2),Threshold,Saturation
2022-07-26 06:20,ISME 16M [SEE],2.1338121114924384e-13,1.6032555531743655e-14,2.64,1.73e-15
2022-07-26 06:20,LUNA-c [SEE],1.0818637394176186e-13,7.820792932757406e-15,11.0,1.19e-15
2022-07-26 06:20,01G9274 [SEE],9.197154375640648e-14,6.663189415867206e-15,10.0,9.877e-16
2022-07-26 06:20,ISM 16M [SEE],1.3513015311748953e-13,9.967681355531887e-15,5.0,1.24e-15
2022-07-26 06:25,93L422 [SEE],1.5268363739952258e-08,1.06974022606781e-09,6.5,1.418e-10
2022-07-26 06:25,93L422AM [SEE],3.376698779160104e-08,2.365800669216257e-09,6.5,3.136e-10
2022-07-26 06:25,2901B [SEE],8.858622738660827e-10,6.092841728655392e-11,48.0,1.52e-11
2022-07-26 06:25,2164 [SEE],8.829687256872252e-10,6.278740294248112e-11,3.5,7.2e-12
2022-07-26 06:25,HM6116 [SEE],1.3292990348566051e-10,9.123173671565322e-12,40.0,2.116e-12
2022-07-26 06:25,D424100V [SEE],3.7768579733227664e-11,2.6176653992582143e-12,11.0,3.983e-13
2022-07-26 06:25,62256R [SEE],5.2783299385762835e-11,3.6724605049713456e-12,9.0,5.292e-13
2022-07-26 06:25,HYB51410 [SEE],3.1114851034766484e-11,2.1531730544314137e-12,12.0,3.357e-13
2022-07-26 06:25,MB814100 [SEE],1.582384438495003e-11,1.1036432882127023e-12,8.0,1.542e-13
2022-07-26 06:25,HM6516 [SEE],2.721873010103817e-11,1.8703691862131184e-12,45.0,4.545e-13
2022-07-26 06:25,OW-62256 [SEE],3.001881932854264e-11,2.069953142301227e-12,15.0,3.443e-13
2022-07-26 06:25,SMJ44100 [SEE],1.4515797824633727e-11,1.0019717258559443e-12,14.0,1.633e-13
2022-07-26 06:25,TC514100 [SEE],1.9076177846161888e-11,1.309674440190528e-12,22.0,2.455e-13
2022-07-26 06:25,HM-65656 [SEE],9.442457546561625e-12,6.511063761580683e-13,15.0,1.083e-13
2022-07-26 06:25,MT4C1004 [SEE],9.040563373753266e-12,6.265835279067993e-13,11.0,9.534e-14
2022-07-26 06:25,MT4C4001 [SEE],6.437328311332452e-12,4.4788473354280164e-13,9.0,6.454e-14
2022-07-26 06:25,KM41C4000 [SEE],8.094737576552125e-12,5.615132524288984e-13,10.5,8.435e-14
2022-07-26 06:25,6283H [SEE],9.988284152371468e-12,6.935059956982371e-13,10.0,1.028e-13
2022-07-26 06:25,Samsung 16M [SEE],5.207026103243682e-12,3.8085371722204854e-13,1.17,3.5e-14
2022-07-26 06:25,Hitachi 16M [SEE],2.3122240603149373e-12,1.6833820807778427e-13,1.4,1.6e-14
2022-07-26 06:25,Micron 16M [SEE],1.0691692216680134e-12,7.692446815452768e-14,2.21,8e-15
2022-07-26 06:25,ISME 16M [SEE],2.2385674148579192e-13,1.6032555531743655e-14,2.64,1.73e-15
2022-07-26 06:25,LUNA-c [SEE],1.1284109937871184e-13,7.820792932757406e-15,11.0,1.19e-15
2022-07-26 06:25,01G9274 [SEE],9.596720094647176e-14,6.663189415867206e-15,10.0,9.877e-16
2022-07-26 06:25,ISM 16M [SEE],1.4140444089703612e-13,9.967681355531887e-15,5.0,1.24e-15
2022-07-26 06:30,93L422 [SEE],1.5851250051608785e-08,1.06974022606781e-09,6.5,1.418e-10
2022-07-26 06:30,93L422AM [SEE],3.505607909862141e-08,2.365800669216257e-09,6.5,3.136e-10
2022-07-26 06:30,2901B [SEE],9.041372008239259e-10,6.092841728655392e-11,48.0,1.52e-11
2022-07-26 06:30,2164 [SEE],9.210891102438977e-10,6.278740294248112e-11,3.5,7.2e-12
2022-07-26 06:30,HM6116 [SEE],1.3589847735788653e-10,9.123173671565322e-12,40.0,2.116e-12
2022-07-26 06:30,D424100V [SEE],3.904445598892089e-11,2.6176653992582143e-12,11.0,3.983e-13
2022-07-26 06:30,62256R [SEE],5.465576894460683e-11,3.6724605049713456e-12,9.0,5.292e-13
2022-07-26 06:30,HYB51410 [SEE],3.214290100161789e-11,2.1531730544314137e-12,12.0,3.357e-13
2022-07-26 06:30,MB814100 [SEE],1.6400760273143432e-11,1.1036432882127023e-12,8.0,1.542e-13
2022-07-26 06:30,HM6516 [SEE],2.7796712678863496e-11,1.8703691862131184e-12,45.0,4.545e-13
2022-07-26 06:30,OW-62256 [SEE],3.0953040204096493e-11,2.069953142301227e-12,15.0,3.443e-13
2022-07-26 06:30,SMJ44100 [SEE],1.4976203927356435e-11,1.0019717258559443e-12,14.0,1.633e-13
2022-07-26 06:30,TC514100 [SEE],1.9605731955760147e-11,1.309674440190528e-12,22.0,2.455e-13
2022-07-26 06:30,HM-65656 [SEE],9.736317903292625e-12,6.511063761580683e-13,15.0,1.083e-13
2022-07-26 06:30,MT4C1004 [SEE],9.345966442339236e-12,6.265835279067993e-13,11.0,9.534e-14
2022-07-26 06:30,MT4C4001 [SEE],6.665690339540674e-12,4.4788473354280164e-13,9.0,6.454e-14
2022-07-26 06:30,KM41C4000 [SEE],8.371382243011137e-12,5.615132524288984e-13,10.5,8.435e-14
2022-07-26 06:30,6283H [SEE],1.0333762034763009e-11,6.935059956982371e-13,10.0,1.028e-13
2022-07-26 06:30,Samsung 16M [SEE],5.475793712881782e-12,3.8085371722204854e-13,1.17,3.5e-14
2022-07-26 06:30,Hitachi 16M [SEE],2.428448187288903e-12,1.6833820807778427e-13,1.4,1.6e-14
2022-07-26 06:30,Micron 16M [SEE],1.1191783481443858e-12,7.692446815452768e-14,2.21,8e-15
2022-07-26 06:30,ISME 16M [SEE],2.340180351802826e-13,1.6032555531743655e-14,2.64,1.73e-15
2022-07-26 06:30,LUNA-c [SEE],1.166530319528392e-13,7.820792932757406e-15,11.0,1.19e-15
2022-07-26 06:30,01G9274 [SEE],9.928654437485821e-14,6.663189415867206e-15,10.0,9.877e-16
2022-07-26 06:30,ISM 16M [SEE],1.4710527515316982e-13,9.967681355531887e-15,5.0,1.24e-15
2022-07-26 06:35,93L422 [SEE],1.4531851221074656e-08,1.06974022606781e-09,6.5,1.418e-10
2022-07-26 06:35,93L422AM [SEE],3.213814205168556e-08,2.365800669216257e-09,6.5,3.136e-10
2022-07-26 06:35,2901B [SEE],8.169599140855839e-10,6.092841728655392e-11,48.0,1.52e-11
2022-07-26 06:35,2164 [SEE],8.478046539399628e-10,6.278740294248112e-11,3.5,7.2e-12
2022-07-26 06:35,HM6116 [SEE],1.22971611990653e-10,9.123173671565322e-12,40.0,2.116e-12
2022-07-26 06:35,D424100V [SEE],3.566725410211523e-11,2.6176653992582143e-12,11.0,3.983e-13
2022-07-26 06:35,62256R [SEE],4.9997077171502834e-11,3.6724605049713456e-12,9.0,5.292e-13
2022-07-26 06:35,HYB51410 [SEE],2.934490347181178e-11,2.1531730544314137e-12,12.0,3.357e-13
2022-07-26 06:35,MB814100 [SEE],1.5014781088333188e-11,1.1036432882127023e-12,8.0,1.542e-13
2022-07-26 06:35,HM6516 [SEE],2.5129391926754293e-11,1.8703691862131184e-12,45.0,4.545e-13
2022-07-26 06:35,OW-62256 [SEE],2.8214214410288122e-11,2.069953142301227e-12,15.0,3.443e-13
2022-07-26 06:35,SMJ44100 [SEE],1.3657745301649985e-11,1.0019717258559443e-12,14.0,1.633e-13
2022-07-26 06:35,TC514100 [SEE],1.7821444844886736e-11,1.309674440190528e-12,22.0,2.455e-13
2022-07-26 06:35,HM-65656 [SEE],8.874816789527169e-12,6.511063761580683e-13,15.0,1.083e-13
2022-07-26 06:35,MT4C1004 [SEE],8.537574707747092e-12,6.265835279067993e-13,11.0,9.534e-14
2022-07-26 06:35,MT4C4001 [SEE],6.097527136524551e-12,4.4788473354280164e-13,9.0,6.454e-14
2022-07-26 06:35,KM41C4000 [SEE],7.649747474058009e-12,5.615132524288984e-13,10.5,8.435e-14
2022-07-26 06:35,6283H [SEE],9.446136545216789e-12,6.935059956982371e-13,10.0,1.028e-13
2022-07-26 06:35,Samsung 16M [SEE],5.073678406445902e-12,3.8085371722204854e-13,1.17,3.5e-14
2022-07-26 06:35,Hitachi 16M [SEE],2.247749489521868e-12,1.6833820807778427e-13,1.4,1.6e-14
2022-07-26 06:35,Micron 16M [SEE],1.0330716393682291e-12,7.692446815452768e-14,2.21,8e-15
2022-07-26 06:35,ISME 16M [SEE],2.1577800887638324e-13,1.6032555531743655e-14,2.64,1.73e-15
2022-07-26 06:35,LUNA-c [SEE],1.0656297359155694e-13,7.820792932757406e-15,11.0,1.19e-15
2022-07-26 06:35,01G9274 [SEE],9.075825939407221e-14,6.663189415867206e-15,10.0,9.877e-16
2022-07-26 06:35,ISM 16M [SEE],1.3509281470519883e-13,9.967681355531887e-15,5.0,1.24e-15
2022-07-26 06:40,93L422 [SEE],1.5734486457704927e-08,1.06974022606781e-09,6.5,1.418e-10
2022-07-26 06:40,93L422AM [SEE],3.479784875272402e-08,2.365800669216257e-09,6.5,3.136e-10
2022-07-26 06:40,2901B [SEE],9.157211837956016e-10,6.092841728655392e-11,48.0,1.52e-11
2022-07-26 06:40,2164 [SEE],9.091256243666198e-10,6.278740294248112e-11,3.5,7.2e-12
2022-07-26 06:40,HM6116 [SEE],1.3736946668003436e-10,9.123173671565322e-12,40.0,2.116e-12
2022-07-26 06:40,D424100V [SEE],3.895166010114953e-11,2.6176653992582143e-12,11.0,3.983e-13
2022-07-26 06:40,62256R [SEE],5.4420523505704114e-11,3.6724605049713456e-12,9.0,5.292e-13
2022-07-26 06:40,HYB51410 [SEE],3.2093681606776194e-11,2.1531730544314137e-12,12.0,3.357e-13
2022-07-26 06:40,MB814100 [SEE],1.6311846381229837e-11,1.1036432882127023e-12,8.0,1.542e-13
2022-07-26 06:40,HM6516 [SEE],2.8133182781441243e-11,1.8703691862131184e-12,45.0,4.545e-13
2022-07-26 06:40,OW-62256 [SEE],3.097360345363917e-11,2.069953142301227e-12,15.0,3.443e-13
2022-07-26 06:40,SMJ44100 [SEE],1.497592226295498e-11,1.0019717258559443e-12,14.0,1.633e-13
2022-07-26 06:40,TC514100 [SEE],1.9694529127711904e-11,1.309674440190528e-12,22.0,2.455e-13
2022-07-26 06:40,HM-65656 [SEE],9.74278609941656e-12,6.511063761580683e-13,15.0,1.083e-13
2022-07-26 06:40,MT4C1004 [SEE],9.323754140204864e-12,6.265835279067993e-13,11.0,9.534e-14
2022-07-26 06:40,MT4C4001 [SEE],6.637000353473437e-12,4.4788473354280164e-13,9.0,6.454e-14
2022-07-26 06:40,KM41C4000 [SEE],8.347722674578655e-12,5.615132524288984e-13,10.5,8.435e-14
2022-07-26 06:40,6283H [SEE],1.0299702330556574e-11,6.935059956982371e-13,10.0,1.028e-13
2022-07-26 06:40,Samsung 16M [SEE],5.353316786918976e-12,3.8085371722204854e-13,1.17,3.5e-14
2022-07-26 06:40,Hitachi 16M [SEE],2.3777514544923275e-12,1.6833820807778427e-13,1.4,1.6e-14
2022-07-26 06:40,Micron 16M [SEE],1.1001449354570182e-12,7.692446815452768e-14,2.21,8e-15
2022-07-26 06:40,ISME 16M [SEE],2.303982815173828e-13,1.6032555531743655e-14,2.64,1.73e-15
2022-07-26 06:40,LUNA-c [SEE],1.1637578589095642e-13,7.820792932757406e-15,11.0,1.19e-15
2022-07-26 06:40,01G9274 [SEE],9.8959299532011e-14,6.663189415867206e-15,10.0,9.877e-16
2022-07-26 06:40,ISM 16M [SEE],1.4566653966172048e-13,9.967681355531887e-15,5.0,1.24e-15
2022-07-26 06:45,93L422 [SEE],1.491521742905263e-08,1.06974022606781e-09,6.5,1.418e-10
2022-07-26 06:45,93L422AM [SEE],3.2985981563828665e-08,2.365800669216257e-09,6.5,3.136e-10
2022-07-26 06:45,2901B [SEE],8.439093182233726e-10,6.092841728655392e-11,48.0,1.52e-11
2022-07-26 06:45,2164 [SEE],8.686387105207846e-10,6.278740294248112e-11,3.5,7.2e-12
2022-07-26 06:45,HM6116 [SEE],1.2694703918977575e-10,9.123173671565322e-12,40.0,2.116e-12
2022-07-26 06:45,D424100V [SEE],3.6665826853071193e-11,2.6176653992582143e-12,11.0,3.983e-13
2022-07-26 06:45,62256R [SEE],5.136556491971587e-11,3.6724605049713456e-12,9.0,5.292e-13
2022-07-26 06:45,HYB51410 [SEE],3.017453742083474e-11,2.1531730544314137e-12,12.0,3.357e-13
2022-07-26 06:45,MB814100 [SEE],1.542032370057451e-11,1.1036432882127023e-12,8.0,1.542e-13
2022-07-26 06:45,HM6516 [SEE],2.5952442972473936e-11,1.8703691862131184e-12,45.0,4.545e-13
2022-07-26 06:45,OW-62256 [SEE],2.9032070351720035e-11,2.069953142301227e-12,15.0,3.443e-13
2022-07-26 06:45,SMJ44100 [SEE],1.4050603437202696e-11,1.0019717258559443e-12,14.0,1.633e-13
2022-07-26 06:45,TC514100 [SEE],1.8360586339033268e-11,1.309674440190528e-12,22.0,2.455e-13
2022-07-26 06:45,HM-65656 [SEE],9.132074409210805e-12,6.511063761580683e-13,15.0,1.083e-13
2022-07-26 06:45,MT4C1004 [SEE],8.776600382053245e-12,6.265835279067993e-13,11.0,9.534e-14
2022-07-26 06:45,MT4C4001 [SEE],6.2644247163992114e-12,4.4788473354280164e-13,9.0,6.454e-14
2022-07-26 06:45,KM41C4000 [SEE],7.86279940012679e-12,5.615132524288984e-13,10.5,8.435e-14
2022-07-26 06:45,6283H [SEE],9.70777882049102e-12,6.935059956982371e-13,10.0,1.028e-13
2022-07-26 06:45,Samsung 16M [SEE],5.183227964618741e-12,3.8085371722204854e-13,1.17,3.5e-14
2022-07-26 06:45,Hitachi 16M [SEE],2.2973419761105323e-12,1.6833820807778427e-13,1.4,1.6e-14
2022-07-26 06:45,Micron 16M [SEE],1.0571334213102946e-12,7.692446815452768e-14,2.21,8e-15
2022-07-26 06:45,ISME 16M [SEE],2.209096008006685e-13,1.6032555531743655e-14,2.64,1.73e-15
2022-07-26 06:45,LUNA-c [SEE],1.095464071181389e-13,7.820792932757406e-15,11.0,1.19e-15
2022-07-26 06:45,01G9274 [SEE],9.327211226652706e-14,6.663189415867206e-15,10.0,9.877e-16
2022-07-26 06:45,ISM 16M [SEE],1.3855165489204067e-13,9.967681355531887e-15,5.0,1.24e-15
2022-07-26 06:50,93L422 [SEE],1.5129494051678524e-08,1.06974022606781e-09,6.5,1.418e-10
2022-07-26 06:50,93L422AM [SEE],3.345986836816915e-08,2.365800669216257e-09,6.5,3.136e-10
2022-07-26 06:50,2901B [SEE],8.474032090616595e-10,6.092841728655392e-11,48.0,1.52e-11
2022-07-26 06:50,2164 [SEE],8.835674506994547e-10,6.278740294248112e-11,3.5,7.2e-12
2022-07-26 06:50,HM6116 [SEE],1.276014490909737e-10,9.123173671565322e-12,40.0,2.116e-12
2022-07-26 06:50,D424100V [SEE],3.710042684254149e-11,2.6176653992582143e-12,11.0,3.983e-13
2022-07-26 06:50,62256R [SEE],5.202433214859855e-11,3.6724605049713456e-12,9.0,5.292e-13
2022-07-26 06:50,HYB51410 [SEE],3.0519316582051475e-11,2.1531730544314137e-12,12.0,3.357e-13
2022-07-26 06:50,MB814100 [SEE],1.562676837413066e-11,1.1036432882127023e-12,8.0,1.542e-13
2022-07-26 06:50,HM6516 [SEE],2.6069267719164632e-11,1.8703691862131184e-12,45.0,4.545e-13
2022-07-26 06:50,OW-62256 [SEE],2.9331573220213135e-11,2.069953142301227e-12,15.0,3.443e-13
2022-07-26 06:50,SMJ44100 [SEE],1.420040840080607e-11,1.0019717258559443e-12,14.0,1.633e-13
2022-07-26 06:50,TC514100 [SEE],1.8514041651481304e-11,1.309674440190528e-12,22.0,2.455e-13
2022-07-26 06:50,HM-65656 [SEE],9.22628341489713e-12,6.511063761580683e-13,15.0,1.083e-13
2022-07-26 06:50,MT4C1004 [SEE],8.880629412924695e-12,6.265835279067993e-13,11.0,9.534e-14
2022-07-26 06:50,MT4C4001 [SEE],6.34476643399575e-12,4.4788473354280164e-13,9.0,6.454e-14
2022-07-26 06:50,KM41C4000 [SEE],7.957780956924616e-12,5.615132524288984e-13,10.5,8.435e-14
2022-07-26 06:50,6283H [SEE],9.827347711251696e-12,6.935059956982371e-13,10.0,1.028e-13
2022-07-26 06:50,Samsung 16M [SEE],5.296546978742929e-12,3.8085371722204854e-13,1.17,3.5e-14
2022-07-26 06:50,Hitachi 16M [SEE],2.3458655846336223e-12,1.6833820807778427e-13,1.4,1.6e-14
2022-07-26 06:50,Micron 16M [SEE],1.0774241898594534e-12,7.692446815452768e-14,2.21,8e-15
2022-07-26 06:50,ISME 16M [SEE],2.2498008637772211e-13,1.6032555531743655e-14,2.64,1.73e-15
2022-07-26 06:50,LUNA-c [SEE],1.1084486051374437e-13,7.820792932757406e-15,11.0,1.19e-15
2022-07-26 06:50,01G9274 [SEE],9.442092737746399e-14,6.663189415867206e-15,10.0,9.877e-16
2022-07-26 06:50,ISM 16M [SEE],1.4071011657760786e-13,9.967681355531887e-15,5.0,1.24e-15
2022-07-26 06:55,93L422 [SEE],1.5110358878514236e-08,1.06974022606781e-09,6.5,1.418e-10
2022-07-26 06:55,93L422AM [SEE],3.341754967772965e-08,2.365800669216257e-09,6.5,3.136e-10
2022-07-26 06:55,2901B [SEE],8.726516202966e-10,6.092841728655392e-11,48.0,1.52e-11
2022-07-26 06:55,2164 [SEE],8.749789975992808e-10,6.278740294248112e-11,3.5,7.2e-12
2022-07-26 06:55,HM6116 [SEE],1.3100641496963984e-10,9.123173671565322e-12,40.0,2.116e-12
2022-07-26 06:55,D424100V [SEE],3.733455594289696e-11,2.6176653992582143e-12,11.0,3.983e-13
2022-07-26 06:55,62256R [SEE],5.219997986877677e-11,3.6724605049713456e-12,9.0,5.292e-13
2022-07-26 06:55,HYB51410 [SEE],3.075129282132041e-11,2.1531730544314137e-12,12.0,3.357e-13
2022-07-26 06:55,MB814100 [SEE],1.5653021909858735e-11,1.1036432882127023e-12,8.0,1.542e-13
2022-07-26 06:55,HM6516 [SEE],2.681710859816583e-11,1.8703691862131184e-12,45.0,4.545e-13
2022-07-26 06:55,OW-62256 [SEE],2.9653080459664276e-11,2.069953142301227e-12,15.0,3.443e-13
2022-07-26 06:55,SMJ44100 [SEE],1.4341194380329886e-11,1.0019717258559443e-12,14.0,1.633e-13
2022-07-26 06:55,TC514100 [SEE],1.8827081554331678e-11,1.309674440190528e-12,22.0,2.455e-13
2022-07-26 06:55,HM-65656 [SEE],9.327413923269358e-12,6.511063761580683e-13,15.0,1.083e-13
2022-07-26 06:55,MT4C1004 [SEE],8.936672266120505e-12,6.265835279067993e-13,11.0,9.534e-14
2022-07-26 06:55,MT4C4001 [SEE],6.366188021033356e-12,4.4788473354280164e-13,9.0,6.454e-14
2022-07-26 06:55,KM41C4000 [SEE],8.00254613439816e-12,5.615132524288984e-13,10.5,8.435e-14
2022-07-26 06:55,6283H [SEE],9.875598602738305e-12,6.935059956982371e-13,10.0,1.028e-13
2022-07-26 06:55,Samsung 16M [SEE],5.1713454646355776e-12,3.8085371722204854e-13,1.17,3.5e-14
2022-07-26 06:55,Hitachi 16M [SEE],2.2955670421956818e-12,1.6833820807778427e-13,1.4,1.6e-14
2022-07-26 06:55,Micron 16M [SEE],1.0604960677283543e-12,7.692446815452768e-14,2.21,8e-15
2022-07-26 06:55,ISME 16M [SEE],2.2196033800616265e-13,1.6032555531743655e-14,2.64,1.73e-15
2022-07-26 06:55,LUNA-c [SEE],1.115443674919593e-13,7.820792932757406e-15,11.0,1.19e-15
2022-07-26 06:55,01G9274 [SEE],9.488452081638741e-14,6.663189415867206e-15,10.0,9.877e-16
2022-07-26 06:55,ISM 16M [SEE],1.4001981955300594e-13,9.967681355531887e-15,5.0,1.24e-15
2022-07-26 07:00,93L422 [SEE],1.418114981067028e-08,1.06974022606781e-09,6.5,1.418e-10
2022-07-26 07:00,93L422AM [SEE],3.1362542881708035e-08,2.365800669216257e-09,6.5,3.136e-10
2022-07-26 07:00,2901B [SEE],8.085505347122325e-10,6.092841728655392e-11,48.0,1.52e-11
2022-07-26 07:00,2164 [SEE],8.24134983709483e-10,6.278740294248112e-11,3.5,7.2e-12
2022-07-26 07:00,HM6116 [SEE],1.215359261760079e-10,9.123173671565322e-12,40.0,2.116e-12
2022-07-26 07:00,D424100V [SEE],3.4927219539686475e-11,2.6176653992582143e-12,11.0,3.983e-13
2022-07-26 07:00,62256R [SEE],4.8894202860544614e-11,3.6724605049713456e-12,9.0,5.292e-13
2022-07-26 07:00,HYB51410 [SEE],2.875294762570731e-11,2.1531730544314137e-12,12.0,3.357e-13
2022-07-26 07:00,MB814100 [SEE],1.4672193131843435e-11,1.1036432882127023e-12,8.0,1.542e-13
2022-07-26 07:00,HM6516 [SEE],2.485835630753289e-11,1.8703691862131184e-12,45.0,4.545e-13
2022-07-26 07:00,OW-62256 [SEE],2.768736099769645e-11,2.069953142301227e-12,15.0,3.443e-13
2022-07-26 07:00,SMJ44100 [SEE],1.3396332683615752e-11,1.0019717258559443e-12,14.0,1.633e-13
2022-07-26 07:00,TC514100 [SEE],1.7535888501951703e-11,1.309674440190528e-12,22.0,2.455e-13
2022-07-26 07:00,HM-65656 [SEE],8.70909438295244e-12,6.511063761580683e-13,15.0,1.083e-13
2022-07-26 07:00,MT4C1004 [SEE],8.360434624438135e-12,6.265835279067993e-13,11.0,9.534e-14
2022-07-26 07:00,MT4C4001 [SEE],5.963023153098166e-12,4.4788473354280164e-13,9.0,6.454e-14
2022-07-26 07:00,KM41C4000 [SEE],7.488687554589754e-12,5.615132524288984e-13,10.5,8.435e-14
2022-07-26 07:00,6283H [SEE],9.244236986195184e-12,6.935059956982371e-13,10.0,1.028e-13
2022-07-26 07:00,Samsung 16M [SEE],4.9003277737761555e-12,3.8085371722204854e-13,1.17,3.5e-14
2022-07-26 07:00,Hitachi 16M [SEE],2.173171311881459e-12,1.6833820807778427e-13,1.4,1.6e-14
2022-07-26 07:00,Micron 16M [SEE],1.0014536577620228e-12,7.692446815452768e-14,2.21,8e-15
2022-07-26 07:00,ISME 16M [SEE],2.0939559375525662e-13,1.6032555531743655e-14,2.64,1.73e-15
2022-07-26 07:00,LUNA-c [SEE],1.0435197402015291e-13,7.820792932757406e-15,11.0,1.19e-15
2022-07-26 07:00,01G9274 [SEE],8.881841314460099e-14,6.663189415867206e-15,10.0,9.877e-16
2022-07-26 07:00,ISM 16M [SEE],1.3161249383050913e-13,9.967681355531887e-15,5.0,1.24e-15
2022-07-26 07:05,93L422 [SEE],1.7709365568935895e-08,1.06974022606781e-09,6.5,1.418e-10
2022-07-26 07:05,93L422AM [SEE],3.91654234303124e-08,2.365800669216257e-09,6.5,3.136e-10
