Time,E (MeV),Flux (pfu)
2022-07-26 19:45,50.0,0.33369618654251104
2022-07-26 19:45,60.0,0.31369617581367404
2022-07-26 19:45,100.0,0.27669617533683705
2022-07-26 19:45,500.0,0.250696182250976
2022-07-26 19:50,5.0,0.31236383318901
2022-07-26 19:50,10.0,0.30936384201049805
2022-07-26 19:50,30.0,0.28936383128166204
2022-07-26 19:50,50.0,0.286363840103149
2022-07-26 19:50,60.0,0.283363848924636
2022-07-26 19:50,100.0,0.275363832712173
2022-07-26 19:50,500.0,0.261363834142684
2022-07-26 19:55,5.0,0.42769551277160606
2022-07-26 19:55,10.0,0.39669552445411604
2022-07-26 19:55,30.0,0.311695516109466
2022-07-26 19:55,50.0,0.30769550800323403
2022-07-26 19:55,60.0,0.30769550800323403
2022-07-26 19:55,100.0,0.30169552564620905
2022-07-26 19:55,500.0,0.246695518493652
2022-07-26 20:00,5.0,0.345365583896636
2022-07-26 20:00,10.0,0.33136558532714805
2022-07-26 20:00,30.0,0.303365588188171
2022-07-26 20:00,50.0,0.30236560106277405
2022-07-26 20:00,60.0,0.30136558413505504
2022-07-26 20:00,100.0,0.297365576028823
2022-07-26 20:00,500.0,0.27336558699607805
2022-07-26 20:05,5.0,0.371364146471023
2022-07-26 20:05,10.0,0.36836412549018804
2022-07-26 20:05,30.0,0.32936415076255804
2022-07-26 20:05,50.0,0.326364129781723
2022-07-26 20:05,60.0,0.324364125728607
2022-07-26 20:05,100.0,0.307364135980606
2022-07-26 20:05,500.0,0.26536414027214
2022-07-26 20:10,5.0,0.30469647049903803
2022-07-26 20:10,10.0,0.300696462392807
2022-07-26 20:10,30.0,0.291696459054946
2022-07-26 20:10,50.0,0.29069647192955
2022-07-26 20:10,60.0,0.29069647192955
2022-07-26 20:10,100.0,0.28569644689559903
2022-07-26 20:10,500.0,0.254696458578109
2022-07-26 20:15,5.0,0.373030990362167
2022-07-26 20:15,10.0,0.359030991792678
2022-07-26 20:15,30.0,0.330030977725982
2022-07-26 20:15,50.0,0.330030977725982
2022-07-26 20:15,60.0,0.32903099060058505
2022-07-26 20:15,100.0,0.32703098654747004
2022-07-26 20:15,500.0,0.272030979394912
2022-07-26 20:20,5.0,0.35302773118019104
2022-07-26 20:20,10.0,0.340027719736099
2022-07-26 20:20,30.0,0.298027724027633
2022-07-26 20:20,50.0,0.28502771258354104
2022-07-26 20:20,60.0,0.280027717351913
2022-07-26 20:20,100.0,0.260027706623077
2022-07-26 20:20,500.0,0.24402771890163402
2022-07-26 20:25,5.0,0.36236461997032104
